Id,ZipCode,City,StateCode,StateName
1,1748,Hopkinton,MA,Massachusetts
1,1749,Hudson,MA,Massachusetts
1,1752,Marlborough,MA,Massachusetts
1,1754,Maynard,MA,Massachusetts
1,1756,Mendon,MA,Massachusetts
1,1757,Milford,MA,Massachusetts
1,1760,Natick,MA,Massachusetts
1,1770,Sherborn,MA,Massachusetts
1,1772,Southborough,MA,Massachusetts
1,1773,Lincoln,MA,Massachusetts
1,1775,Stow,MA,Massachusetts
1,1776,Sudbury,MA,Massachusetts
1,1778,Wayland,MA,Massachusetts
1,1801,Woburn,MA,Massachusetts
1,1803,Burlington,MA,Massachusetts
1,1810,Andover,MA,Massachusetts
1,1821,Billerica,MA,Massachusetts
1,1824,Chelmsford,MA,Massachusetts
1,1826,Dracut,MA,Massachusetts
1,1827,Dunstable,MA,Massachusetts
1,1830,Haverhill,MA,Massachusetts
1,1832,Haverhill,MA,Massachusetts
1,1833,Georgetown,MA,Massachusetts
1,1834,Groveland,MA,Massachusetts
1,1835,Haverhill,MA,Massachusetts
1,1840,Lawrence,MA,Massachusetts
1,1841,Lawrence,MA,Massachusetts
1,1843,Lawrence,MA,Massachusetts
1,1844,Methuen,MA,Massachusetts
1,1845,North Andover,MA,Massachusetts
1,1850,Lowell,MA,Massachusetts
1,1851,Lowell,MA,Massachusetts
1,1852,Lowell,MA,Massachusetts
1,1854,Lowell,MA,Massachusetts
1,1860,Merrimac,MA,Massachusetts
1,1862,North Billerica,MA,Massachusetts
1,1863,North Chelmsford,MA,Massachusetts
1,1864,North Reading,MA,Massachusetts
1,1867,Reading,MA,Massachusetts
1,1876,Tewksbury,MA,Massachusetts
1,1879,Tyngsboro,MA,Massachusetts
1,1880,Wakefield,MA,Massachusetts
1,1886,Westford,MA,Massachusetts
1,1887,Wilmington,MA,Massachusetts
1,1890,Winchester,MA,Massachusetts
1,1901,Lynn,MA,Massachusetts
1,1902,Lynn,MA,Massachusetts
1,1904,Lynn,MA,Massachusetts
1,1905,Lynn,MA,Massachusetts
1,1906,Saugus,MA,Massachusetts
1,1907,Swampscott,MA,Massachusetts
1,1908,Nahant,MA,Massachusetts
1,1913,Amesbury,MA,Massachusetts
1,1915,Beverly,MA,Massachusetts
1,1921,Boxford,MA,Massachusetts
1,1922,Byfield,MA,Massachusetts
1,1923,Danvers,MA,Massachusetts
1,1929,Essex,MA,Massachusetts
1,1930,Gloucester,MA,Massachusetts
1,1937,Hathorne,MA,Massachusetts
1,1938,Ipswich,MA,Massachusetts
1,1940,Lynnfield,MA,Massachusetts
1,1944,Manchester,MA,Massachusetts
1,1945,Marblehead,MA,Massachusetts
1,1949,Middleton,MA,Massachusetts
1,1950,Newburyport,MA,Massachusetts
1,1951,Newbury,MA,Massachusetts
1,1952,Salisbury,MA,Massachusetts
1,1960,Peabody,MA,Massachusetts
1,1966,Rockport,MA,Massachusetts
1,1969,Rowley,MA,Massachusetts
1,1970,Salem,MA,Massachusetts
1,1982,South Hamilton,MA,Massachusetts
1,1983,Topsfield,MA,Massachusetts
1,1984,Wenham,MA,Massachusetts
1,1985,West Newbury,MA,Massachusetts
1,2019,Bellingham,MA,Massachusetts
1,2021,Canton,MA,Massachusetts
1,2025,Cohasset,MA,Massachusetts
1,2026,Dedham,MA,Massachusetts
1,2030,Dover,MA,Massachusetts
1,2032,East Walpole,MA,Massachusetts
1,2035,Foxboro,MA,Massachusetts
1,2038,Franklin,MA,Massachusetts
1,2043,Hingham,MA,Massachusetts
1,2045,Hull,MA,Massachusetts
1,2047,Humarock,MA,Massachusetts
1,2048,Mansfield,MA,Massachusetts
1,2050,Marshfield,MA,Massachusetts
1,2052,Medfield,MA,Massachusetts
1,2053,Medway,MA,Massachusetts
1,2054,Millis,MA,Massachusetts
1,2056,Norfolk,MA,Massachusetts
1,2061,Norwell,MA,Massachusetts
1,2062,Norwood,MA,Massachusetts
1,2066,Scituate,MA,Massachusetts
1,2067,Sharon,MA,Massachusetts
1,2071,South Walpole,MA,Massachusetts
1,2072,Stoughton,MA,Massachusetts
1,2081,Walpole,MA,Massachusetts
1,2090,Westwood,MA,Massachusetts
1,2093,Wrentham,MA,Massachusetts
1,2108,Boston,MA,Massachusetts
1,2109,Boston,MA,Massachusetts
1,2110,Boston,MA,Massachusetts
1,2111,Boston,MA,Massachusetts
1,2113,Boston,MA,Massachusetts
1,2114,Boston,MA,Massachusetts
1,2115,Boston,MA,Massachusetts
1,2116,Boston,MA,Massachusetts
1,2118,Boston,MA,Massachusetts
1,2119,Roxbury,MA,Massachusetts
1,2120,Roxbury Crossing,MA,Massachusetts
1,2121,Dorchester,MA,Massachusetts
1,2122,Dorchester,MA,Massachusetts
1,2124,Dorchester Center,MA,Massachusetts
1,2125,Dorchester,MA,Massachusetts
1,2126,Mattapan,MA,Massachusetts
1,2127,South Boston,MA,Massachusetts
1,2128,East Boston,MA,Massachusetts
1,2129,Charlestown,MA,Massachusetts
1,2130,Jamaica Plain,MA,Massachusetts
1,2131,Roslindale,MA,Massachusetts
1,2132,West Roxbury,MA,Massachusetts
1,2134,Allston,MA,Massachusetts
1,2135,Brighton,MA,Massachusetts
1,2136,Hyde Park,MA,Massachusetts
1,2138,Cambridge,MA,Massachusetts
1,2139,Cambridge,MA,Massachusetts
1,2140,Cambridge,MA,Massachusetts
1,2141,Cambridge,MA,Massachusetts
1,2142,Cambridge,MA,Massachusetts
1,2143,Somerville,MA,Massachusetts
1,2144,Somerville,MA,Massachusetts
1,2145,Somerville,MA,Massachusetts
1,2148,Malden,MA,Massachusetts
1,2149,Everett,MA,Massachusetts
